amp,ROI,position,subject
0.697508105101002,9,1,2
0,0,0,0
0,0,0,0
0,0,0,0
0.555905775081532,9,1,3
0,0,0,0
0,0,0,0
0,0,0,0
0.23429447731016,9,1,4
0,0,0,0
0,0,0,0
0,0,0,0
0.44199531385637,9,1,5
0,0,0,0
0,0,0,0
0,0,0,0
0.635883724023758,9,1,6
0,0,0,0
0,0,0,0
0,0,0,0
0.407787013831215,9,1,7
0,0,0,0
0,0,0,0
0,0,0,0
0.613822253159329,9,1,8
0,0,0,0
0,0,0,0
0,0,0,0
0.573269419362467,9,1,9
0,0,0,0
0,0,0,0
0,0,0,0
0.397059691545071,1,2,1
0,0,0,0
0,0,0,0
0,0,0,0
0.707354103856122,1,2,2
0,0,0,0
0,0,0,0
0,0,0,0
0.724420397442992,1,2,3
0,0,0,0
0,0,0,0
0,0,0,0
0.515081442621411,1,2,4
0,0,0,0
0,0,0,0
0,0,0,0
0.623469573997948,1,2,5
0,0,0,0
0,0,0,0
0,0,0,0
0.513580229138704,1,2,6
0,0,0,0
0,0,0,0
0,0,0,0
0.736422248464453,1,2,7
0,0,0,0
0,0,0,0
0,0,0,0
0.931539721333663,1,2,8
0,0,0,0
0,0,0,0
0,0,0,0
0.918188405001438,1,2,9
0,0,0,0
0,0,0,0
0,0,0,0
0.487387535054406,2,2,1
0,0,0,0
0,0,0,0
0,0,0,0
0.556890124250264,2,2,2
0,0,0,0
0,0,0,0
0,0,0,0
0.802132548337801,2,2,3
0,0,0,0
0,0,0,0
0,0,0,0
0.75879026594161,2,2,4
0,0,0,0
0,0,0,0
0,0,0,0
0.552921235291983,2,2,5
0,0,0,0
0,0,0,0
0,0,0,0
0.697363051429723,2,2,6
0,0,0,0
0,0,0,0
0,0,0,0
0.680065583914241,2,2,7
0,0,0,0
0,0,0,0
0,0,0,0
0.523361047223675,2,2,8
0,0,0,0
0,0,0,0
0,0,0,0
0.897870495036494,2,2,9
0,0,0,0
0,0,0,0
0,0,0,0
0.316526580113841,3,2,1
0,0,0,0
0,0,0,0
0,0,0,0
0.879266233056151,3,2,2
0,0,0,0
0,0,0,0
0,0,0,0
0.521791851802296,3,2,3
0,0,0,0
0,0,0,0
0,0,0,0
0.667615133521099,3,2,4
0,0,0,0
0,0,0,0
0,0,0,0
0.530943980882771,3,2,5
0,0,0,0
0,0,0,0
0,0,0,0
0.495258680939719,3,2,6
0,0,0,0
0,0,0,0
0,0,0,0
0.672750590042132,3,2,7
0,0,0,0
0,0,0,0
0,0,0,0
0.385832198522949,3,2,8
0,0,0,0
0,0,0,0
0,0,0,0
0.776311693896494,3,2,9
0,0,0,0
0,0,0,0
0,0,0,0
0.719189676756232,4,2,1
0,0,0,0
0,0,0,0
0,0,0,0
1.0471877564622,4,2,2
0,0,0,0
0,0,0,0
0,0,0,0
0.192862739756436,4,2,3
0,0,0,0
0,0,0,0
0,0,0,0
0.710265427399273,4,2,4
0,0,0,0
0,0,0,0
0,0,0,0
0.247437112867695,4,2,5
0,0,0,0
0,0,0,0
0,0,0,0
0.255802181707139,4,2,6
0,0,0,0
0,0,0,0
0,0,0,0
0.733587148651794,4,2,7
0,0,0,0
0,0,0,0
0,0,0,0
0.519349110628524,4,2,8
0,0,0,0
0,0,0,0
0,0,0,0
0.779474231691218,4,2,9
0,0,0,0
