err,ROI,position,subject
0.32758120655909,8,3,1
0.847756142655145,8,3,2
0.122508597363364,8,3,3
0.25,8,3,4
0.486924126345718,8,3,5
0.183683837993109,8,3,6
0.447629239976107,8,3,7
0.644919072013823,8,3,8
0.0651230441686849,8,3,9
0.0300324391198557,9,3,1
0.493620019744712,9,3,2
0.17530850809385,9,3,3
0.514832533490278,9,3,4
0.603251296536234,9,3,5
0.247497662901879,9,3,6
0.17199376799114,9,3,7
0.724363904216191,9,3,8
0.167958633977507,9,3,9
0.404525343692937,1,4,1
0.764868411697801,1,4,2
1.72212527107031,1,4,3
0.337741425007256,1,4,4
0.579821691993023,1,4,5
0.0638949778095896,1,4,6
0.298030064477805,1,4,7
1.10324692095222,1,4,8
0.05,1,4,9
0.387872332820082,2,4,1
0.719413950038711,2,4,2
1.65127486884594,2,4,3
0.179162453380003,2,4,4
0.424466437498852,2,4,5
0.168882428236006,2,4,6
0.147767239343375,2,4,7
0.856461022351721,2,4,8
0.142271442431957,2,4,9
0.104422471542119,3,4,1
0.515604243715969,3,4,2
1.68997759911634,3,4,3
0.158667571575466,3,4,4
0.994713700418187,3,4,5
0.123632822278887,3,4,6
0.129006844405546,3,4,7
1.00508122341999,3,4,8
0.524975215607071,3,4,9
0.194302562181211,4,4,1
0.361014705484885,4,4,2
0.764835212842569,4,4,3
0.0838222500297424,4,4,4
0.603720599812571,4,4,5
0.0656486702825504,4,4,6
0.618532919187315,4,4,7
0.798365574807176,4,4,8
1.39937475032773,4,4,9
0.077734659146651,5,4,1
0.256564457342623,5,4,2
0.594497294026574,5,4,3
0.318605998717958,5,4,4
0.30485872288782,5,4,5
0.429852670169204,5,4,6
1.05095770815324,5,4,7
1.45980028388118,5,4,8
1.93280274498733,5,4,9
0.0164924695923407,6,4,1
0.134009879764265,6,4,2
0.779178771468697,6,4,3
0.314987141963759,6,4,4
0.384865542987121,6,4,5
0.502902218778794,6,4,6
0.718501464745319,6,4,7
1.82075587565284,6,4,8
0.780907212128992,6,4,9
0.155581605427536,7,4,1
0.0836608349321362,7,4,2
1.08496520081209,7,4,3
0.536862502220314,7,4,4
0.25694915025156,7,4,5
0.49227687913864,7,4,6
1.25,7,4,7
1.05361023063306,7,4,8
1.3628369515418,7,4,9
0.190918790124081,8,4,1
0.498565544256811,8,4,2
1.16629252205562,8,4,3
0.241950772067661,8,4,4
0.525589706722508,8,4,5
0.428336617885397,8,4,6
0.09474043469895,8,4,7
1.55341358671885,8,4,8
0.571944918212841,8,4,9
0.139105115294851,9,4,1
0.707035687848774,9,4,2
0.653815142039648,9,4,3
0.67517525213624,9,4,4
0.292546175297887,9,4,5
0.795787471226023,9,4,6
0.668951178765994,9,4,7
1.62062762140457,9,4,8
1.01446870776113,9,4,9
0.15209436006844,1,5,1
1.73001391256658,1,5,2
0.990310211708077,1,5,3
0.672572433583972,1,5,4
0.499683870086182,1,5,5
2.27780191835558,1,5,6
0.189333156002414,1,5,7
1.86239881330756,1,5,8
0.0237638804518883,1,5,9
0.150698379139394,2,5,1
