base,ROI,position,subject
0,0,0,0
0,0,0,0
-0.156764391946276,1,2,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.23516471994748,1,2,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.391523712254609,1,2,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.176996437485785,1,2,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.189667769814558,1,2,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.235317773414138,1,2,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.322148263615025,1,2,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.227492572761061,1,2,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.138957516759384,1,2,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.253327558253637,2,2,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.203174943068151,2,2,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.38615848896958,2,2,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.31753132277949,2,2,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.190452263192672,2,2,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.333074962581984,2,2,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.226328632087183,2,2,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.117892040488478,2,2,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.174248936955128,2,2,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.00117180840728193,3,2,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.254458349349216,3,2,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.299933099958615,3,2,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.15632891872007,3,2,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.203390931668425,3,2,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.222867676930881,3,2,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.208412482171731,3,2,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.00514170336226755,3,2,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.147614300490206,3,2,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.0925737458714075,4,2,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.267510890964935,4,2,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.0551645760131097,4,2,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.132200638848688,4,2,4
