size,ROI,position,subject
3.48323210922706,1,2,5
0,0,0,0
0,0,0,0
0,0,0,0
7.4,1,2,6
0,0,0,0
0,0,0,0
0,0,0,0
8.19877256650954,1,2,7
0,0,0,0
0,0,0,0
0,0,0,0
3.75345823788075,1,2,8
0,0,0,0
0,0,0,0
0,0,0,0
4.20312360959604,1,2,9
0,0,0,0
0,0,0,0
0,0,0,0
8.09944417357451,2,2,1
0,0,0,0
0,0,0,0
0,0,0,0
4.40223301406895,2,2,2
0,0,0,0
0,0,0,0
0,0,0,0
6.10082929270385,2,2,3
0,0,0,0
0,0,0,0
0,0,0,0
4.99553788960829,2,2,4
0,0,0,0
0,0,0,0
0,0,0,0
3.99950711936147,2,2,5
0,0,0,0
0,0,0,0
0,0,0,0
7.00120558334283,2,2,6
0,0,0,0
0,0,0,0
0,0,0,0
6.60177914491123,2,2,7
0,0,0,0
0,0,0,0
0,0,0,0
3.40728775109508,2,2,8
0,0,0,0
0,0,0,0
0,0,0,0
4.24765663698626,2,2,9
0,0,0,0
0,0,0,0
0,0,0,0
3.1192405944177,3,2,1
0,0,0,0
0,0,0,0
0,0,0,0
4.62886371724034,3,2,2
0,0,0,0
0,0,0,0
0,0,0,0
6.89834681604076,3,2,3
0,0,0,0
0,0,0,0
0,0,0,0
4.43052462171082,3,2,4
0,0,0,0
0,0,0,0
0,0,0,0
4.59093288087633,3,2,5
0,0,0,0
0,0,0,0
0,0,0,0
6.40201654012915,3,2,6
0,0,0,0
0,0,0,0
0,0,0,0
5.1720396590865,3,2,7
0,0,0,0
0,0,0,0
0,0,0,0
3.33198469120919,3,2,8
0,0,0,0
0,0,0,0
0,0,0,0
5.20026461839577,3,2,9
0,0,0,0
0,0,0,0
0,0,0,0
5.20031783519752,4,2,1
0,0,0,0
0,0,0,0
0,0,0,0
4.3893452896905,4,2,2
0,0,0,0
0,0,0,0
0,0,0,0
7.20013773199923,4,2,3
0,0,0,0
0,0,0,0
0,0,0,0
4.66328416433911,4,2,4
0,0,0,0
0,0,0,0
0,0,0,0
2.30042117443256,4,2,5
0,0,0,0
0,0,0,0
0,0,0,0
3.20038150922501,4,2,6
0,0,0,0
0,0,0,0
0,0,0,0
4.90173602150878,4,2,7
0,0,0,0
0,0,0,0
0,0,0,0
6.1,4,2,8
0,0,0,0
0,0,0,0
0,0,0,0
5.27119514758175,4,2,9
0,0,0,0
0,0,0,0
0,0,0,0
4.5328337685066,5,2,1
0,0,0,0
0,0,0,0
0,0,0,0
4.9380112953343,5,2,2
0,0,0,0
0,0,0,0
0,0,0,0
3.80042037045779,5,2,3
0,0,0,0
0,0,0,0
0,0,0,0
4.92089665808644,5,2,4
0,0,0,0
0,0,0,0
0,0,0,0
4.69985423605246,5,2,5
0,0,0,0
0,0,0,0
0,0,0,0
6.09880223348524,5,2,6
0,0,0,0
0,0,0,0
0,0,0,0
5.09447450512073,5,2,7
0,0,0,0
0,0,0,0
0,0,0,0
2.49793872733426,5,2,8
0,0,0,0
0,0,0,0
0,0,0,0
4.4477092097822,5,2,9
0,0,0,0
0,0,0,0
0,0,0,0
4.8,6,2,1
0,0,0,0
0,0,0,0
0,0,0,0
4.42365294746259,6,2,2
0,0,0,0
0,0,0,0
0,0,0,0
4.59937514423959,6,2,3
0,0,0,0
0,0,0,0
0,0,0,0
6.47292785272878,6,2,4
0,0,0,0
0,0,0,0
0,0,0,0
3.84713620617455,6,2,5
0,0,0,0
0,0,0,0
0,0,0,0
5.25769461645798,6,2,6
0,0,0,0
0,0,0,0
0,0,0,0
5.60159956016349,6,2,7
0,0,0,0
0,0,0,0
0,0,0,0
5.5011675817829,6,2,8
0,0,0,0
0,0,0,0
0,0,0,0
4.29976344944505,6,2,9
0,0,0,0
0,0,0,0
0,0,0,0
4.69977764415931,7,2,1
0,0,0,0
0,0,0,0
0,0,0,0
5.47183105616638,7,2,2
0,0,0,0
0,0,0,0
0,0,0,0
4.26453916754167,7,2,3
0,0,0,0
0,0,0,0
0,0,0,0
5.1,7,2,4
0,0,0,0
0,0,0,0
0,0,0,0
4.10116014027959,7,2,5
0,0,0,0
0,0,0,0
0,0,0,0
6.90008390892459,7,2,6
0,0,0,0
0,0,0,0
0,0,0,0
5.59736543899594,7,2,7
0,0,0,0
0,0,0,0
0,0,0,0
4.45413495295928,7,2,8
0,0,0,0
0,0,0,0
0,0,0,0
3.90658758989952,7,2,9
0,0,0,0
0,0,0,0
0,0,0,0
4.13281708177692,8,2,1
0,0,0,0
0,0,0,0
0,0,0,0
5,8,2,2
0,0,0,0
0,0,0,0
0,0,0,0
4.37782806760809,8,2,3
0,0,0,0
0,0,0,0
0,0,0,0
5.22164189971496,8,2,4
0,0,0,0
0,0,0,0
0,0,0,0
6.39901922213617,8,2,5
0,0,0,0
0,0,0,0
0,0,0,0
5.20125402333687,8,2,6
0,0,0,0
0,0,0,0
0,0,0,0
6.90186426407474,8,2,7
0,0,0,0
0,0,0,0
0,0,0,0
5.79973685793771,8,2,8
0,0,0,0
0,0,0,0
0,0,0,0
11.6,8,2,9
0,0,0,0
0,0,0,0
0,0,0,0
4.52615984690543,9,2,1
0,0,0,0
0,0,0,0
0,0,0,0
4.56556312951185,9,2,2
0,0,0,0
0,0,0,0
0,0,0,0
3.76040821517697,9,2,3
0,0,0,0
0,0,0,0
0,0,0,0
4.94878535057873,9,2,4
0,0,0,0
0,0,0,0
0,0,0,0
4.60008217868921,9,2,5
0,0,0,0
0,0,0,0
0,0,0,0
4.00017852892026,9,2,6
0,0,0,0
0,0,0,0
0,0,0,0
5.16550685648385,9,2,7
0,0,0,0
0,0,0,0
0,0,0,0
4.53070401514476,9,2,8
0,0,0,0
0,0,0,0
0,0,0,0
6.78161734311304,9,2,9
0,0,0,0
0,0,0,0
0,0,0,0
5.77132125894731,1,3,1
0,0,0,0
0,0,0,0
0,0,0,0
3.80121441923264,1,3,2
0,0,0,0
0,0,0,0
0,0,0,0
4.67148589783551,1,3,3
0,0,0,0
0,0,0,0
