size,ROI,position,subject
0,0,0,0
0,0,0,0
0,0,0,0
5.90228360462157,6,5,4
0,0,0,0
0,0,0,0
0,0,0,0
3.20051380364434,6,5,5
0,0,0,0
0,0,0,0
0,0,0,0
3.57112858423944,6,5,6
0,0,0,0
0,0,0,0
0,0,0,0
2.73463820575429,6,5,7
0,0,0,0
0,0,0,0
0,0,0,0
2.69890959630689,6,5,8
0,0,0,0
0,0,0,0
0,0,0,0
7.09971865321014,6,5,9
0,0,0,0
0,0,0,0
0,0,0,0
4.39816205787449,7,5,1
0,0,0,0
0,0,0,0
0,0,0,0
8.40028218131627,7,5,2
0,0,0,0
0,0,0,0
0,0,0,0
4.91822654768474,7,5,3
0,0,0,0
0,0,0,0
0,0,0,0
2.39861259496473,7,5,4
0,0,0,0
0,0,0,0
0,0,0,0
4.67228059103486,7,5,5
0,0,0,0
0,0,0,0
0,0,0,0
3.4576737345164,7,5,6
0,0,0,0
0,0,0,0
0,0,0,0
4.29909228764388,7,5,7
0,0,0,0
0,0,0,0
0,0,0,0
4.04413971751255,7,5,8
0,0,0,0
0,0,0,0
0,0,0,0
4.49801732066926,7,5,9
0,0,0,0
0,0,0,0
0,0,0,0
4.80021576131076,8,5,1
0,0,0,0
0,0,0,0
0,0,0,0
15,8,5,2
0,0,0,0
0,0,0,0
0,0,0,0
7.1751021498324,8,5,3
0,0,0,0
0,0,0,0
0,0,0,0
4.74241493317559,8,5,4
0,0,0,0
0,0,0,0
0,0,0,0
4.20452502613479,8,5,5
0,0,0,0
0,0,0,0
0,0,0,0
3.29313545480267,8,5,6
0,0,0,0
0,0,0,0
0,0,0,0
12.6,8,5,7
0,0,0,0
0,0,0,0
0,0,0,0
4.57778061122183,8,5,8
0,0,0,0
0,0,0,0
0,0,0,0
9.8,8,5,9
0,0,0,0
0,0,0,0
0,0,0,0
4.62057446731755,9,5,1
0,0,0,0
0,0,0,0
0,0,0,0
14.9158640522993,9,5,2
0,0,0,0
0,0,0,0
0,0,0,0
9.50204685628865,9,5,3
0,0,0,0
0,0,0,0
0,0,0,0
6.10104756074526,9,5,4
0,0,0,0
0,0,0,0
0,0,0,0
2.99873991547472,9,5,5
0,0,0,0
0,0,0,0
0,0,0,0
3.39959258137496,9,5,6
0,0,0,0
0,0,0,0
0,0,0,0
4.80163991082626,9,5,7
0,0,0,0
0,0,0,0
0,0,0,0
4.00608513838108,9,5,8
0,0,0,0
0,0,0,0
0,0,0,0
10.2,9,5,9
0,0,0,0
0,0,0,0
0,0,0,0
3.40066263076082,1,6,1
0,0,0,0
0,0,0,0
0,0,0,0
4.40184503356169,1,6,2
0,0,0,0
0,0,0,0
0,0,0,0
5.89907793751732,1,6,3
0,0,0,0
0,0,0,0
0,0,0,0
3.06808217209168,1,6,4
0,0,0,0
0,0,0,0
0,0,0,0
4.92531103251399,1,6,5
0,0,0,0
0,0,0,0
0,0,0,0
4.94773175299832,1,6,6
0,0,0,0
0,0,0,0
0,0,0,0
3.73225514304013,1,6,7
0,0,0,0
0,0,0,0
0,0,0,0
3.06588762859779,1,6,8
0,0,0,0
0,0,0,0
0,0,0,0
4.01566406113052,1,6,9
0,0,0,0
0,0,0,0
0,0,0,0
10.9000047674569,2,6,1
0,0,0,0
0,0,0,0
0,0,0,0
4.32724151293222,2,6,2
0,0,0,0
0,0,0,0
0,0,0,0
7.69996185974964,2,6,3
0,0,0,0
0,0,0,0
0,0,0,0
7.8000703955109,2,6,4
0,0,0,0
0,0,0,0
0,0,0,0
5.09803745240852,2,6,5
0,0,0,0
0,0,0,0
0,0,0,0
4.96812746681026,2,6,6
0,0,0,0
0,0,0,0
0,0,0,0
3.65231307249294,2,6,7
0,0,0,0
0,0,0,0
0,0,0,0
3.73357238610691,2,6,8
0,0,0,0
0,0,0,0
0,0,0,0
4.72826460652862,2,6,9
0,0,0,0
0,0,0,0
0,0,0,0
11.7997649256988,3,6,1
0,0,0,0
0,0,0,0
0,0,0,0
4.73371141913857,3,6,2
0,0,0,0
0,0,0,0
0,0,0,0
2.60283138524333,3,6,3
0,0,0,0
0,0,0,0
0,0,0,0
6.1,3,6,4
0,0,0,0
0,0,0,0
0,0,0,0
5.41676230030593,3,6,5
0,0,0,0
0,0,0,0
0,0,0,0
4.77357823838407,3,6,6
0,0,0,0
0,0,0,0
0,0,0,0
4.25316981149784,3,6,7
0,0,0,0
0,0,0,0
0,0,0,0
2.5,3,6,8
0,0,0,0
0,0,0,0
0,0,0,0
4.83132679165221,3,6,9
0,0,0,0
0,0,0,0
0,0,0,0
5.02696130521527,4,6,1
0,0,0,0
0,0,0,0
0,0,0,0
5.52218457446227,4,6,2
0,0,0,0
0,0,0,0
0,0,0,0
4.59895215115469,4,6,3
0,0,0,0
0,0,0,0
0,0,0,0
2.69975016376655,4,6,4
0,0,0,0
0,0,0,0
0,0,0,0
6.23048360154982,4,6,5
0,0,0,0
0,0,0,0
0,0,0,0
5.70141644174827,4,6,6
0,0,0,0
0,0,0,0
0,0,0,0
5.54750909692328,4,6,7
0,0,0,0
0,0,0,0
0,0,0,0
5.29971418764739,4,6,8
0,0,0,0
0,0,0,0
0,0,0,0
5.59923620333484,4,6,9
0,0,0,0
0,0,0,0
0,0,0,0
6.16247922939078,5,6,1
0,0,0,0
0,0,0,0
0,0,0,0
5.29843441142578,5,6,2
0,0,0,0
0,0,0,0
0,0,0,0
4.94689015642757,5,6,3
0,0,0,0
0,0,0,0
0,0,0,0
2.49802067798699,5,6,4
0,0,0,0
0,0,0,0
0,0,0,0
4.64821160705604,5,6,5
0,0,0,0
0,0,0,0
0,0,0,0
3.6236494956024,5,6,6
0,0,0,0
0,0,0,0
0,0,0,0
3.86126637760613,5,6,7
0,0,0,0
0,0,0,0
0,0,0,0
13.2,5,6,8
0,0,0,0
0,0,0,0
0,0,0,0
5.19954533470158,5,6,9
0,0,0,0
0,0,0,0
0,0,0,0
4.30776924453557,6,6,1
0,0,0,0
0,0,0,0
0,0,0,0
15,6,6,2
0,0,0,0
0,0,0,0
0,0,0,0
5.7536861750467,6,6,3
0,0,0,0
0,0,0,0
0,0,0,0
4.5,6,6,4
0,0,0,0
0,0,0,0
0,0,0,0
4.89913075364728,6,6,5
0,0,0,0
0,0,0,0
0,0,0,0
3.16973427769594,6,6,6
0,0,0,0
0,0,0,0
0,0,0,0
5.50058164608498,6,6,7
0,0,0,0
0,0,0,0
0,0,0,0
7.30070537094851,6,6,8
0,0,0,0
0,0,0,0
0,0,0,0
4.47026023561228,6,6,9
0,0,0,0
0,0,0,0
0,0,0,0
5.89902201141449,7,6,1
0,0,0,0
0,0,0,0
0,0,0,0
3.80074123972281,7,6,2
0,0,0,0
0,0,0,0
0,0,0,0
3.01453386583489,7,6,3
0,0,0,0
0,0,0,0
0,0,0,0
2.90145584666171,7,6,4
0,0,0,0
0,0,0,0
0,0,0,0
4.59960299791921,7,6,5
0,0,0,0
0,0,0,0
0,0,0,0
5.12994921759366,7,6,6
0,0,0,0
0,0,0,0
0,0,0,0
5.10035800931689,7,6,7
0,0,0,0
0,0,0,0
0,0,0,0
5.40172547167904,7,6,8
0,0,0,0
0,0,0,0
0,0,0,0
4.90163668834495,7,6,9
0,0,0,0
0,0,0,0
0,0,0,0
3.86575432253537,8,6,1
0,0,0,0
0,0,0,0
0,0,0,0
3.94099378896806,8,6,2
0,0,0,0
0,0,0,0
0,0,0,0
2.74931485746562,8,6,3
0,0,0,0
0,0,0,0
0,0,0,0
4.73587732440065,8,6,4
0,0,0,0
0,0,0,0
0,0,0,0
5.61618252091507,8,6,5
0,0,0,0
0,0,0,0
0,0,0,0
3.40144809801966,8,6,6
0,0,0,0
0,0,0,0
0,0,0,0
3.4,8,6,7
0,0,0,0
0,0,0,0
0,0,0,0
3.30063214484292,8,6,8
0,0,0,0
0,0,0,0
0,0,0,0
4.11665282055711,8,6,9
0,0,0,0
0,0,0,0
0,0,0,0
4.10099853286147,9,6,1
0,0,0,0
0,0,0,0
0,0,0,0
8,9,6,2
0,0,0,0
0,0,0,0
0,0,0,0
4.19898964844338,9,6,3
0,0,0,0
0,0,0,0
0,0,0,0
2.34609155155022,9,6,4
0,0,0,0
0,0,0,0
0,0,0,0
5.96952491929162,9,6,5
0,0,0,0
0,0,0,0
0,0,0,0
5.20007766974333,9,6,6
0,0,0,0
0,0,0,0
0,0,0,0
4.7003277871355,9,6,7
0,0,0,0
0,0,0,0
0,0,0,0
8.29962360301018,9,6,8
0,0,0,0
0,0,0,0
0,0,0,0
4.46700120114073,9,6,9
