subject,ROI,position,err
4,7,3,0.195905520269677
4,7,4,0.536862502220314
4,7,5,0.0730287961905197
4,7,6,0.175146527511618
4,8,1,0.0294663771332446
4,8,2,0.369976148066049
4,8,3,0.25
4,8,4,0.241950772067661
4,8,5,0.22990056182931
4,8,6,0.195908526332511
4,9,1,0.152468406138095
4,9,2,1.02062968049269
4,9,3,0.514832533490278
4,9,4,0.67517525213624
4,9,5,0.163046223402208
4,9,6,0.0523443644940693
5,1,1,0.606514218887456
5,1,2,0.317103266618567
5,1,3,0.448381494199466
5,1,4,0.579821691993023
5,1,5,0.499683870086182
5,1,6,0.145360388612844
5,2,1,0.693506834626616
5,2,2,0.639255449040399
5,2,3,0.424554361820971
5,2,4,0.424466437498852
5,2,5,0.923748714249246
5,2,6,0.139090294650605
5,3,1,1.33627729810817
5,3,2,0.698682100159849
5,3,3,0.548341015825939
5,3,4,0.994713700418187
5,3,5,1.73174470353262
5,3,6,0.27955643554298
5,4,1,0.85
5,4,2,1.95571823147081
5,4,3,0.391015056573962
5,4,4,0.603720599812571
5,4,5,1.10920207097482
5,4,6,0.300422243164065
5,5,1,1.04078113033573
5,5,2,0.557182255340664
5,5,3,0.660870936744582
5,5,4,0.30485872288782
5,5,5,1.23898682560811
5,5,6,0.168999755216633
5,6,1,1.71705796277085
5,6,2,0.682693500228088
5,6,3,0.601152817877544
5,6,4,0.384865542987121
5,6,5,1.81681438324702
5,6,6,0.28321913751488
5,7,1,0.907523018636356
5,7,2,0.862987301879518
5,7,3,0.440308095884597
5,7,4,0.25694915025156
5,7,5,2.06053953659227
5,7,6,0.175015340213315
5,8,1,0.674000412652446
5,8,2,0.434858982032602
5,8,3,0.486924126345718
5,8,4,0.525589706722508
5,8,5,2.27875918395081
5,8,6,0.377395643421437
5,9,1,0.683233332201093
5,9,2,0.34210730008781
5,9,3,0.603251296536234
5,9,4,0.292546175297887
5,9,5,0.568959775770679
5,9,6,0.322668985720534
6,1,1,0.269281461242723
6,1,2,0.191337355846461
6,1,3,0.6412862043191
6,1,4,0.0638949778095896
6,1,5,2.27780191835558
6,1,6,0.731949874868784
6,2,1,0.277046522671121
6,2,2,0.141917584872783
6,2,3,0.411128763256043
6,2,4,0.168882428236006
6,2,5,2.33614745744241
6,2,6,0.533202951619994
6,3,1,0.335644949043039
6,3,2,0.424540984765149
6,3,3,0.104711905586064
6,3,4,0.123632822278887
6,3,5,2.33275460374372
6,3,6,0.68367467262504
6,4,1,0.434068973665793
6,4,2,1.32394577804051
6,4,3,0.244904336102748
6,4,4,0.0656486702825504
6,4,5,0.382875663337634
6,4,6,0.890856816323632
6,5,1,2.59291759130598
6,5,2,0.337294116895905
6,5,3,0.25
6,5,4,0.429852670169204
6,5,5,0.508324824064632
6,5,6,0.457981990246644
6,6,1,0.224479572178829
6,6,2,0.452789006928087
6,6,3,0.329735914588434
6,6,4,0.502902218778794
6,6,5,0.514934985333867
6,6,6,0.718177742951198
6,7,1,0.207643050306173
6,7,2,0.448208530247212
6,7,3,0.0603840742677138
6,7,4,0.49227687913864
6,7,5,0.416186537560214
6,7,6,0.568158824844539
6,8,1,0.273430866616093
6,8,2,0.623521615204192
6,8,3,0.183683837993109
6,8,4,0.428336617885397
6,8,5,0.505124568503435
6,8,6,0.585199859692275
6,9,1,0.0285628141645533
6,9,2,1.0400631379155
6,9,3,0.247497662901879
6,9,4,0.795787471226023
6,9,5,0.270670693004596
6,9,6,0.539787579687993
7,1,1,0.882894435477581
7,1,2,0.283626695886023
7,1,3,0.297841246577008
7,1,4,0.298030064477805
7,1,5,0.189333156002414
7,1,6,0.372615083966152
7,2,1,0.613757949338455
7,2,2,0.344620534849145
7,2,3,0.541389468082217
7,2,4,0.147767239343375
7,2,5,0.55
7,2,6,1.04466841296765
7,3,1,1.34880823935382
7,3,2,0.287243721465774
7,3,3,0.275070003649426
7,3,4,0.129006844405546
7,3,5,0.0961000821545009
7,3,6,1.28420413609428
7,4,1,1.43588271642978
7,4,2,0.659220721728173
7,4,3,0.491312354948995
7,4,4,0.618532919187315
7,4,5,0.513744656755937
7,4,6,0.555165753642309
7,5,1,1.72735511857792
7,5,2,0.00174312967254742
7,5,3,0.203312010219072
7,5,4,1.05095770815324
7,5,5,0.634634348408124
7,5,6,0.73146101122768
7,6,1,0.123560998875279
7,6,2,0.675721336888317
7,6,3,0.192970195225621
7,6,4,0.718501464745319
7,6,5,0.295144703016845
7,6,6,0.573798517751441
7,7,1,0.426492314551093
7,7,2,0.214980999370558
7,7,3,0.35496807073857
7,7,4,1.25
7,7,5,0.444641196465602
7,7,6,0.668417841795718
7,8,1,1.59554776541428
7,8,2,0.209063835447719
7,8,3,0.447629239976107
7,8,4,0.09474043469895
7,8,5,0.497435382791015
7,8,6,3.75
7,9,1,2.61012261010637
7,9,2,1.79290342975831
7,9,3,0.17199376799114
7,9,4,0.668951178765994
7,9,5,2.03850018065217
7,9,6,1.13858996916514
8,1,1,1.44307641547487
8,1,2,1.57116330871686
8,1,3,0.522416633693313
8,1,4,1.10324692095222
8,1,5,1.86239881330756
8,1,6,0.573226758118754
8,2,1,0.759534213176148
8,2,2,1.71720634765895
8,2,3,0.53964745296508
8,2,4,0.856461022351721
8,2,5,1.75891486243639
8,2,6,0.189226126753181
8,3,1,0.423787895200797
8,3,2,1.7761923683753
8,3,3,0.70921803398226
8,3,4,1.00508122341999
8,3,5,1.58121762793041
8,3,6,0.0499999999999998
8,4,1,0.0732300329546862
8,4,2,0.910112753550844
8,4,3,0.819056648185133
8,4,4,0.798365574807176
8,4,5,1.32920242914582
8,4,6,0.256154510488626
8,5,1,0.887674217141859
8,5,2,1.92427172652055
8,5,3,1.14853322788968
8,5,4,1.45980028388118
8,5,5,1.76694765086806
8,5,6,0.05
8,6,1,1.79552620856734
8,6,2,1.28610705444053
8,6,3,0.0184513509087033
8,6,4,1.82075587565284
8,6,5,2.22764809611935
8,6,6,0.53530718449016
8,7,1,0.126733677892533
8,7,2,1.7387025194729
8,7,3,0.556242975238059
8,7,4,1.05361023063306
8,7,5,1.85916527754518
8,7,6,1.26122281270102
8,8,1,2.2288921388467
8,8,2,1.64663198157214
8,8,3,0.644919072013823
8,8,4,1.55341358671885
8,8,5,1.84318494759447
8,8,6,0.385140052024386
8,9,1,2.07502624531867
8,9,2,1.72792294846196
8,9,3,0.724363904216191
8,9,4,1.62062762140457
8,9,5,2.1181756551096
8,9,6,0.575160834852661
9,1,1,1.3330470309799
9,1,2,0.202228394565098
9,1,3,0.353327748679313
9,1,4,0.05
9,1,5,0.0237638804518883
9,1,6,0.0863822312288645
9,2,1,0.59807212906142
9,2,2,0.251756351532581
9,2,3,0.209095306208475
9,2,4,0.142271442431957
9,2,5,0.240986439657846
9,2,6,0.193792072041424
9,3,1,0.7328152082934
9,3,2,0.0471370917628521
9,3,3,0.0726478034368317
9,3,4,0.524975215607071
9,3,5,0.656249108865565
9,3,6,0.282792405195182
9,4,1,0.681063768824895
9,4,2,0.539311968359809
9,4,3,0.171430620366838
9,4,4,1.39937475032773
9,4,5,0.825105581223947
9,4,6,0.368297668662785
9,5,1,0.667583142426612
9,5,2,0.121593377422885
9,5,3,0.0677143294082401
9,5,4,1.93280274498733
9,5,5,0.193850378117473
9,5,6,0.345333555041561
9,6,1,0.219205368423309
9,6,2,0.352851535700867
9,6,3,0.0869279863859419
9,6,4,0.780907212128992
9,6,5,0.00308322589743915
9,6,6,0.405273516880893
9,7,1,0.226319144792269
9,7,2,0.00451101086897487
9,7,3,0.0678350611313011
9,7,4,1.3628369515418
9,7,5,0.143417952573513
9,7,6,0.431662628096433
9,8,1,0.793558886742229
9,8,2,0.25
9,8,3,0.0651230441686849
9,8,4,0.571944918212841
9,8,5,0.263421329362425
9,8,6,0.287972074757308
9,9,1,0.629643216518308
9,9,2,0.208227081600081
9,9,3,0.167958633977507
9,9,4,1.01446870776113
9,9,5,0.251970429091225
9,9,6,0.453530047965433
